case_id	intended_raw	typed_raw	intended_reading	operation	confidence	behavior	stratum	note
R000217	omoshiroi	omooshiroi	おもしろい	duplicate	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified duplicate fixture
R000218	omoshiroi	omohiroi	おもしろい	omission	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified omission fixture
R000219	omoshiroi	kmoshiroi	おもしろい	neighbor	medium	suggest	length=medium;position=initial;lexical=common;feature=none	generated stratified neighbor fixture
R000220	omoshiroi	ovoshiroi	おもしろい	replacement	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified replacement fixture
R000221	muzukashii	muzukasihi	むずかしい	transpose	high	auto	length=medium;position=medial;lexical=common;feature=none	generated stratified transpose fixture
R000222	muzukashii	muzukashiii	むずかしい	duplicate	high	auto	length=long;position=medial;lexical=common;feature=none	generated stratified duplicate fixture
R000223	muzukashii	uzukashii	むずかしい	omission	medium	suggest	length=medium;position=initial;lexical=common;feature=none	generated stratified omission fixture
R000224	muzukashii	muzukashik	むずかしい	neighbor	medium	suggest	length=medium;position=final;lexical=common;feature=none	generated stratified neighbor fixture
R000225	muzukashii	mmzukashii	むずかしい	replacement	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified replacement fixture
R000226	yasashii	yasahsii	やさしい	transpose	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified transpose fixture
R000227	yasashii	yaasashii	やさしい	duplicate	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified duplicate fixture
R000228	yasashii	yaashii	やさしい	omission	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified omission fixture
R000229	yasashii	yqsashii	やさしい	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified neighbor fixture
R000230	yasashii	yarashii	やさしい	replacement	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified replacement fixture
R000231	daijoubu	daijobuu	だいじょうぶ	transpose	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified transpose fixture
R000232	daijoubu	daiijoubu	だいじょうぶ	duplicate	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified duplicate fixture
R000233	daijoubu	daioubu	だいじょうぶ	omission	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified omission fixture
R000234	daijoubu	dwijoubu	だいじょうぶ	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified neighbor fixture
R000235	daijoubu	datjoubu	だいじょうぶ	replacement	medium	suggest	length=medium;position=medial;lexical=common;feature=none	generated stratified replacement fixture
R000236	chotto	chtoto	ちょっと	transpose	medium	suggest	length=short;position=medial;lexical=common;feature=sokuon	generated stratified transpose fixture
R000237	chotto	chhotto	ちょっと	duplicate	medium	suggest	length=medium;position=medial;lexical=common;feature=sokuon	generated stratified duplicate fixture
R000238	chotto	chtto	ちょっと	omission	medium	suggest	length=short;position=medial;lexical=common;feature=sokuon	generated stratified omission fixture
R000239	chotto	chotro	ちょっと	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=sokuon	generated stratified neighbor fixture
R000240	chotto	chytto	ちょっと	replacement	medium	suggest	length=short;position=medial;lexical=common;feature=sokuon	generated stratified replacement fixture
R000241	massugu	masusgu	まっすぐ	transpose	medium	suggest	length=medium;position=medial;lexical=common;feature=sokuon	generated stratified transpose fixture
R000242	massugu	maassugu	まっすぐ	duplicate	medium	suggest	length=medium;position=medial;lexical=common;feature=sokuon	generated stratified duplicate fixture
R000243	massugu	masugu	まっすぐ	omission	medium	suggest	length=short;position=medial;lexical=common;feature=sokuon	generated stratified omission fixture
R000244	massugu	mazsugu	まっすぐ	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=sokuon	generated stratified neighbor fixture
R000245	massugu	maysugu	まっすぐ	replacement	medium	suggest	length=medium;position=medial;lexical=common;feature=sokuon	generated stratified replacement fixture
R000246	densha	denhsa	でんしゃ	transpose	high	auto	length=short;position=medial;lexical=common;feature=n	generated stratified transpose fixture
R000247	densha	denssha	でんしゃ	duplicate	high	auto	length=medium;position=medial;lexical=common;feature=n	generated stratified duplicate fixture
R000248	densha	densa	でんしゃ	omission	medium	suggest	length=short;position=final;lexical=common;feature=n	generated stratified omission fixture
R000249	densha	deneha	でんしゃ	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=n	generated stratified neighbor fixture
R000250	densha	deisha	でんしゃ	replacement	medium	suggest	length=short;position=medial;lexical=common;feature=n	generated stratified replacement fixture
